SLC26A1	ENSG00000145217
HLA-DOB	ENSG00000241106
HLA-DQA2	ENSG00000237541
HLA-DRB1	ENSG00000196126
LY6G5C	ENSG00000204428
GRN	ENSG00000030582
CEACAM19	ENSG00000186567
PM20D1	ENSG00000162877
CD55	ENSG00000196352
COQ8A	ENSG00000163050
TMEM163	ENSG00000152128
G6PC2	ENSG00000152254
SLC25A38	ENSG00000144659
WDR5B	ENSG00000196981
MCCC1	ENSG00000078070
MMRN1	ENSG00000138722
DEPDC1B	ENSG00000035499
PAM	ENSG00000145730
ZSCAN31	ENSG00000235109
CD2AP	ENSG00000198087
TAS2R60	ENSG00000185899
C9orf72	ENSG00000147894
ABCA1	ENSG00000165029
ITGA8	ENSG00000077943
FAM180B	ENSG00000196666
POLE	ENSG00000177084
CAB39L	ENSG00000102547
OXGR1	ENSG00000165621
RIN3	ENSG00000100599
FGF7	ENSG00000140285
ADAM10	ENSG00000137845
INO80E	ENSG00000169592
PRSS36	ENSG00000178226
AC007906.2	ENSG00000277639
RIT2	ENSG00000152214
